역이름,역지역,lat,long,호선
낙성대역,수도권,37.477089631373197,126.963505817942007,02호선
서울대입구역,수도권,37.481284500826497,126.952695107942006,02호선
강변역,수도권,37.535118053119000,127.094722999065993,02호선
영등포구청역,수도권,37.525830523222197,126.896668349115998,02호선
잠실새내역,수도권,37.511608348580403,127.086300734320005,02호선
당산역,수도권,37.534773501406903,126.902607283904999,02호선
충정로역,수도권,37.559747968898897,126.964484159440985,02호선
종합운동장역,수도권,37.511130255696699,127.073835860439999,02호선
합정역,수도권,37.549901442065000,126.914447288630996,02호선
홍대입구역,수도권,37.556863528146103,126.923764988566006,02호선
삼성역,수도권,37.508811929381402,127.063020940328997,02호선
신답역,수도권,37.569835086079799,127.047066531690007,02호선
선릉역,수도권,37.504493775095803,127.048948120104995,02호선
신정네거리역,수도권,37.520215898263501,126.852876007423006,02호선
역삼역,수도권,37.500660005298599,127.036460414211007,02호선
강남역,수도권,37.498085441150302,127.027977657727007,02호선
교대역,수도권,37.492735960127902,127.013863444680993,02호선
방배역,수도권,37.481456126439198,126.997535255648998,02호선
사당역,수도권,37.476553220839598,126.981549541445006,02호선
봉천역,수도권,37.482468909837799,126.941682007425996,02호선
신림역,수도권,37.484264429427398,126.929740854865003,02호선
신대방역,수도권,37.487641446009000,126.913500702286996,02호선
구로디지털단지역,수도권,37.485253367194098,126.901473089503995,02호선
신도림역,수도권,37.508904874472599,126.891307981962001,02호선
문래역,수도권,37.517972094016400,126.894756202452001,02호선
신촌역,수도권,37.555195456708901,126.936962654547997,02호선
이대역,수도권,37.556803903823301,126.946422762683994,02호선
아현역,수도권,37.557402568943203,126.956132861046996,02호선
까치산역,수도권,37.532227044916702,126.846426169395997,02호선
시청역,수도권,37.565337284119302,126.977181235022996,02호선
을지로입구역,수도권,37.566022902061597,126.982183995362007,02호선
을지로3가역,수도권,37.566276179676898,126.990967458778997,02호선
을지로4가역,수도권,37.566636899661098,126.997623004003003,02호선
동대문역사문화공원역,수도권,37.565645485914096,127.008987189552997,02호선
신당역,수도권,37.565662242714403,127.019468475357996,02호선
한양대역,수도권,37.555708786425697,127.043617163820002,02호선
뚝섬역,수도권,37.547237957949200,127.047369170782986,02호선
성수역,수도권,37.544585215677401,127.056057944076997,02호선
건대입구역,수도권,37.540397606271704,127.069202907348000,02호선
구의역,수도권,37.537160863174002,127.086171769556998,02호선
잠실나루역,수도권,37.520694400369599,127.103799674868000,02호선
잠실역,수도권,37.513309270204800,127.100215181118998,02호선
용답역,수도권,37.562120975745799,127.050887278781005,02호선
암사역,수도권,37.550133857733996,127.127537293280994,08호선
천호역,수도권,37.538496805558601,127.123919374783014,08호선
강동구청역,수도권,37.530193178361998,127.120443701344001,08호선
몽촌토성역,수도권,37.517802895918202,127.112844983955995,08호선
잠실역,수도권,37.513309270204800,127.100215181118998,08호선
석촌역,수도권,37.505410529970597,127.106990485843994,08호선
송파역,수도권,37.499711358080802,127.112184453853004,08호선
가락시장역,수도권,37.493092048704000,127.118258210622002,08호선
문정역,수도권,37.486023855265600,127.122475829668986,08호선
장지역,수도권,37.478631698138997,127.126172045084004,08호선
복정역,수도권,37.470738289186301,127.126701394601994,08호선
산성역,수도권,37.456799308990199,127.150073936897002,08호선
남한산성입구역,수도권,37.451668709100097,127.159873536457994,08호선
단대오거리역,수도권,37.445023398951299,127.156763011663003,08호선
신흥역,수도권,37.440908635514802,127.147533584341005,08호선
수진역,수도권,37.437367182685293,127.140520928805003,08호선
모란역,수도권,37.434027487399597,127.129961399904005,08호선
서초역,수도권,37.491835518945997,127.007644026196004,02호선
왕십리역,수도권,37.561261163167103,127.037078472459001,02호선
상왕십리역,수도권,37.564434864772899,127.029270145908001,02호선
대림역,수도권,37.493302732373799,126.894926522974004,02호선
신설동역,수도권,37.576022761300202,127.024452169845006,02호선
도림천역,수도권,37.514500819973797,126.882635530518002,02호선
양천구청역,수도권,37.512374450509398,126.865717870736006,02호선
용두역,수도권,37.574054924811399,127.038262110342998,02호선
