사진,제목,가격,소제목,소재지,매물특징,계약/전용면적,해당층/총층,방수/욕실수,월관리비,관리비 포함,입주가능일,융자금,방향,주차가능여부,난방(방식/연료),사용승인일,총세대수,총주차대수,용도지역,건축물 용도,주구조,재건축/재개발,매물번호,매물설명,중개사,공급/전용면적,전세금 반환보증,용도,방구조,복층여부,현관구조,해당면적 세대수,사용검사일,준공인가일
0,상가주택5층,월세500/40,해당층/총층:  5/5층방 1개서향 계약/전용 면적:25.5㎡/17㎡,서울시 영등포구 당산동2가 10,올수리예정 대로변 엘리베이터 있는 옥탑,25.5㎡/17㎡(전용률67%),5/5층,1/1개,5만원,-,즉시입주 ,없음,서향(안방 기준),불가능,개별난방/도시가스,1991.12.09,-,-,-,제2종 근린생활시설,-,-,2245937424,"2호선 문래역,2,5호선 영등포구청역 역세권

대로변 5층 건물 옥탑(옥탑 정말 넓습니다.)

올리모델링 예정
전입신고 안되는 물건입니다~
<중개대상물의 표시 · 광고 명시사항 관련정보>
개설등록번호 :11560201800115
입주가능일 :즉시입주
방향기준 :안방
건축물용도 :제2종 근린생활시설
매물상세지번 :10
사용승인일 :19911209","미래사랑공인중개사사무소길찾기대표이정은등록번호11560201800115소재지서울특별시 영등포구 당산동2가 11전화02-2678-4477,010-2898-0628최근 3개월  집주인확인 52건매매3전세15월세62단기0",,,,,,,,,
0,빌라 아테네 아테네5층,"전세2억 4,000(2,667만원/3.3㎡)",방 1개사용승인일:2016주차가능 공급/전용 면적:29.74㎡/19.84㎡,서울시 영등포구 양평동3가 49-4,남향 귀한전세 풀옵션 전세자금대출가능,,5/7층,1/1개,4.5만원,TV,2022년 11월 30일 협의가능,없음,남향(거실 기준),가능,개별난방/도시가스,2016,38세대,1대(세대당 0.03대),-,공동주택,-,,2244832326,,"우리공인중개사사무소(합동)길찾기대표김옥주등록번호92440000-08244소재지서울특별시 영등포구 당산로 95(당산동2가, 현대아파트),상가 108호전화02-2671-6100,010-9344-6100최근 3개월  집주인확인 137건매매40전세42월세13단기0",29.74㎡/19.84㎡(전용률67%),"예상 보증료706,260원네이버페이 최대3만원 적립상품 안내",,,,,,,
0,아테네 102동중층,"전세2억 3,000(1,807만원/3.3㎡)",남향역까지 8분 계약/전용 면적:42.08㎡/26.26㎡,,1.5룸 남향 혼자 또는 신혼부주가능 전세자금대출가능,42.08㎡/26.26㎡(전용률62%),중/3층,1/1개,4.5만원,-,2023년 3월 23일 협의가능,없음,남향(거실 기준),,개별난방/도시가스,,,9대(세대당 0.64대),,업무시설,,,2245316027,,"우리공인중개사사무소(합동)길찾기대표김옥주등록번호92440000-08244소재지서울특별시 영등포구 당산로 95(당산동2가, 현대아파트),상가 108호전화02-2671-6100,010-9344-6100최근 3개월  집주인확인 137건매매40전세42월세13단기0",,"예상 보증료676,840원네이버페이 최대3만원 적립상품 안내",주거용,분리형,단층,계단식,2세대,,
0,아테네 101동고층,"전세2억(1,536만원/3.3㎡)",남서향역까지 7분 계약/전용 면적:43.05㎡/26.9㎡,,분리형 원룸  역세권 초특가 전세 현장,43.05㎡/26.9㎡(전용률62%),고/3층,1/1개,4만원,-,2023년 1월 18일 ,없음,남서향(거실 기준),,개별난방/도시가스,,,27대(세대당 0.8대),,업무시설,,,2245287220,"※ 위치 : 롯데마트 양평점 바로앞

※ 교통 : 2,5호선 영등포구청역 도보 6분
               5호선 양평역 도보 5분 거리
               버스정거장 도보 30초 노선 다양

※ 구조 : 방1 / 욕실1 /거실

※ 특징 : 1~2인 가구 추천 전용 면적 좋은 현장
               정화구역내 입지 조용하고 안전한 주거 환경

※ 옵션 : 에어컨, 세탁기, 냉장고 등

※ 편의시설 : 롯데마트, 홈플러스, 관공서, 재래시장

※ 관리비 : 4만원

※ 주차 : 가능

※ 입주 가능일 : 현재 세입자 거주중 협의

◈ 본 광고의 모든 사진은 100% 직접 촬영하였습니다. 

◈ 연중무휴 24시간. 친절상담을 약속 드립니다.

◈ 토요일, 일요일, 공휴일 365일 정상 근무 합니다.

◈ 가격대비 항상 최상의 집만을 소개해 드립니다.",H공인중개사사무소대표이동식등록번호11560-2020-00153소재지서울특별시 영등포구 경인로114가길 12(영등포동1가) 102호전화02-2068-0333,,"예상 보증료588,550원네이버페이 최대3만원 적립상품 안내",-,오픈형,단층,복도식,2세대,,
0,빌라 아테네 101동고층,"전세2억 8,600(1,647만원/3.3㎡)",방 2개사용승인일:2016.07.19주차가능 공급/전용 면적:57.4㎡/38.04㎡,서울시 영등포구 양평동3가 49-4,마트 바로앞에 위치한 투룸,,고/7층,2/1개,4.5만원,"인터넷, TV",즉시입주 ,없음,남서향(거실 기준),가능,개별난방/도시가스,2016.07.19,24세대,26대(세대당 1.08대),-,공동주택,-,,2243569474,"롯데마트 바로 건너편
투룸구조
햇살 잘드는 정남향",H공인중개사사무소대표이동식등록번호11560-2020-00153소재지서울특별시 영등포구 경인로114가길 12(영등포동1가) 102호전화010-4600-5624,57.4㎡/38.04㎡(전용률66%),"예상 보증료841,630원네이버페이 최대3만원 적립상품 안내",,,,,,,
0,더파크365 1동5층,"전세3억 5,000(1,384만원/3.3㎡)",북향역까지 6분 계약/전용 면적:83.61㎡/46.88㎡,,올수리 해드립니다  투룸  신혼부부강추,83.61㎡/46.88㎡(전용률56%),5/14층,2/1개,13만원,"전기료, 수도",즉시입주 협의가능,없음,북향(거실 기준),,개별난방/도시가스,,,412대(세대당 1.79대),,업무시설,,,2244835345,,"우리공인중개사사무소(합동)길찾기대표김옥주등록번호92440000-08244소재지서울특별시 영등포구 당산로 95(당산동2가, 현대아파트),상가 108호전화02-2671-6100,010-9344-6100최근 3개월  집주인확인 137건매매40전세42월세13단기0",,"예상 보증료1,029,970원네이버페이 최대3만원 적립상품 안내",주거용,-,단층,-,65세대,,
0,더파크365 1동중층,"전세3억 3,500(1,325만원/3.3㎡)",북향역까지 6분 계약/전용 면적:83.61㎡/46.88㎡,,내부컨디션 우수 투룸 신혼부부강추,83.61㎡/46.88㎡(전용률56%),중/14층,2/1개,13만원,"전기료, 수도",즉시입주 협의가능,없음,북향(거실 기준),,개별난방/도시가스,,,412대(세대당 1.79대),,업무시설,,,2244301426,,"우리공인중개사사무소(합동)길찾기대표김옥주등록번호92440000-08244소재지서울특별시 영등포구 당산로 95(당산동2가, 현대아파트),상가 108호전화02-2671-6100,010-9344-6100최근 3개월  집주인확인 137건매매40전세42월세13단기0",,"예상 보증료985,830원네이버페이 최대3만원 적립상품 안내",주거용,-,단층,복도식,65세대,,
0,더파크365 1동고층,"전세3억 3,500(1,325만원/3.3㎡)",남서향역까지 6분 계약/전용 면적:83.61㎡/46.88㎡,,자주식주차 영등포 가장 넓은평수,83.61㎡/46.88㎡(전용률56%),고/14층,2/1개,,,즉시입주 협의가능,없음,남서향(거실 기준),,개별난방/도시가스,,,412대(세대당 1.79대),,업무시설,,,2245251948,"LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL
오피스텔
- 신축급으로 세탁기, 냉장고, 에어컨 등이 청결함.
- 가격대비 가성비있는 넓은 평수
- 신혼부부 추천 매물

교통
- 영등포구청 초역세권
- 자주식주차
- 아파트만큼 큰평수

보 안
-건물 내,외부와 각 층별 사각지대 없이 CCTV 24시간 운용중
-건물 현관 및 각 호실 도어락 2중보안
-경비업체, 방역업체에서 관리중인 건물

편 의
-무인택배함, 편리한 쓰레기 분리수거함","당산쉐르빌부동산공인중개사사무소길찾기대표이규만등록번호92440000-07715소재지서울특별시 영등포구 당산로45길 1 109호전화02-2649-0113,02-2649-0113매매2전세45월세13단기0",,"예상 보증료985,830원네이버페이 최대3만원 적립상품 안내",주거용,오픈형,단층,복도식,65세대,,
0,당산계룡리슈빌1단지(도시형) 102동중층,"전세2억 6,000(3,421만원/3.3㎡)",남향역까지 5분 공급/전용 면적:25.12㎡/16.53㎡,,"남향  주차굿 헬스장무료 2,5호선3분초더블역세권",,중/19층,1/1개,7만원,-,2023년 04월 하순 협의가능,없음,남향(안방 기준),,개별난방/도시가스,,,146대(세대당 1대),,,,,2245442742,,"계룡리슈빌갤러리부동산 공인중개사 사무소톡톡문의길찾기대표양현복등록번호92440000-08493소재지서울 영등포구 당산동3가564 계룡리슈빌 상가 1층전화02-2671-1177,010-2647-4181최근 3개월  집주인확인 63건매매10전세14월세8단기0",25.12㎡/16.53㎡(전용률66%),"예상 보증료635,940원네이버페이 최대3만원 적립상품 안내",,,,계단식,12세대,,
0,당산계룡리슈빌1단지(도시형) 102동중층,"전세2억 6,000(3,421만원/3.3㎡)",남향역까지 5분 공급/전용 면적:25.12㎡/16.53㎡,,"남향  주차굿 헬스장무료 2,5호선3분초더블역세권",,중/19층,1/1개,7만원,-,2023년 04월 하순 협의가능,없음,남향(안방 기준),,개별난방/도시가스,,,146대(세대당 1대),,,,,2245442742,,"계룡리슈빌갤러리부동산 공인중개사 사무소톡톡문의길찾기대표양현복등록번호92440000-08493소재지서울 영등포구 당산동3가564 계룡리슈빌 상가 1층전화02-2671-1177,010-2647-4181최근 3개월  집주인확인 63건매매10전세14월세8단기0",25.12㎡/16.53㎡(전용률66%),"예상 보증료635,940원네이버페이 최대3만원 적립상품 안내",,,,계단식,12세대,,
