번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),점포구분명,Unnamed: 29
14,대규모점포,08_25_01_P,3070000,2022307028607500002,20220418,,1,영업/정상,5,영업개시전,,,,,02-2006-2678,186.6,,서울특별시 성북구 길음동 508-16,"서울특별시 성북구 숭인로8길 80, 롯데캐슬클라시아 상가 101~104호 (길음동)",2730.0,GS THE FRESH 성북클라시아점,20220418141602,I,2022-04-20 00:22:33.0,구분없음,202226.378526398,456194.352420546,준대규모점포,
24,대규모점포,08_25_01_P,3160000,2022316015907500001,20220318,,1,영업/정상,5,영업개시전,,,,,02-528-0450,40883.22,,서울특별시 구로구 고척동 100-7,,,고척아이파크쇼핑센터,20220318180047,I,2022-03-20 00:22:35.0,쇼핑센터,187477.579440706,444045.294921843,대규모점포,
33,대규모점포,08_25_01_P,3130000,2018313020107500002,20180813,,1,영업/정상,5,영업개시전,,,,,02-2179-5021,9747.1,,서울특별시 마포구 동교동 190번지 1호,서울특별시 마포구 와우산로35길 50-4 (동교동),4052.0,홍대복합역사 상업시설,20180817093316,I,2018-08-31 23:59:59.0,쇼핑센터,193285.549735897,450808.571641119,대규모점포,
37,대규모점포,08_25_01_P,3140000,2020314016707500002,20200529,,1,영업/정상,5,영업개시전,,,,,0226433209,2734.89,,서울특별시 양천구 목동 966번지 목동에버하임,"서울특별시 양천구 목동중앙북로 68 (목동, 목동에버하임)",7948.0,목동에버하임,20200529092009,I,2020-05-31 00:23:29.0,그 밖의 대규모점포,188502.886822432,449377.63880433,대규모점포,
43,대규모점포,08_25_01_P,3060000,2021306017507500001,20211125,,1,영업/정상,5,영업개시전,,,,,02-2290-5704,1150.47,,서울특별시 중랑구 신내동 646 금강리빙스텔,"서울특별시 중랑구 신내로 211, 금강리빙스텔 비01호 (신내동)",2024.0,롯데프레시앤델리 봉화산역점,20211125152000,I,2021-11-27 00:22:44.0,구분없음,208112.860200669,457113.638411288,준대규모점포,
45,대규모점포,08_25_01_P,3230000,2020323026107500003,20200724,,1,영업/정상,5,영업개시전,,,,20200820.0,,182.0,,서울특별시 송파구 가락동 191-5,서울특별시 송파구 동남로20길 24 (가락동),5783.0,롯데프레시송파가락가맹점,20200902171535,U,2020-09-04 02:40:00.0,구분없음,211822.100655974,443697.739713172,준대규모점포,
59,대규모점포,08_25_01_P,3140000,2022314016707500002,20221004,,1,영업/정상,5,영업개시전,,,,,02-3459-8016,254.4,,서울특별시 양천구 신정동 86-1,서울특별시 양천구 목동동로 196(신정동),8010.0,홈플러스 익스프레스 오목교점,20221005132545,I,2022-10-07 00:22:25.0,구분없음,188565.074701959,446750.881633578,준대규모점포,
66,대규모점포,08_25_01_P,3220000,2021322024907500001,20210319,,1,영업/정상,5,영업개시전,,,,,-,7511.51,,서울특별시 강남구 역삼동 676 센터필드,"서울특별시 강남구 테헤란로 231, 센터필드 (역삼동)",6142.0,더 샵스 앳 센터필드 (THE SHOPS AT CENTERFIELD),20210322194327,U,2021-03-24 02:40:00.0,그 밖의 대규모점포,203599.062771687,444556.062267296,대규모점포,
70,대규모점포,08_25_01_P,3240000,2014324018907500001,19961212,,1,영업/정상,5,영업개시전,,,,,02-477-1223,10180.74,134871.0,서울특별시 강동구 천호동 410번지 100호,서울특별시 강동구 진황도로 12 (천호동),134871.0,천호코오롱상가,20220120142720,U,2022-01-22 02:40:00.0,그 밖의 대규모점포,211279.030241561,448548.819716671,대규모점포,
73,대규모점포,08_25_01_P,3050000,2022305014007500001,20220711,,1,영업/정상,5,영업개시전,,,,,02-721-8286,22467.67,,서울특별시 동대문구 용두동 39-1,,,청량리역 한양수자인 그라시엘 판매시설,20220711130854,I,2022-07-13 00:22:29.0,그 밖의 대규모점포,203728.022004023,452778.965235022,대규모점포,
