역이름,역지역,호선,번호,개방서,개방,개방자,관리번,인허가,영업상,영업,상세영,상세,재개업,소재지,소재��,소재��_1,소재��_2,도로명�,도로��,사업장�,최종수�,데이터�,데이��,업태구�,점포구�,학교ID,학교명,학교급�,설립일�,설립형�,본교분�,운영상�,소재��_3,소재��_4,시도교�,시도��,교육지�,교육��,생성일�,변경일�,데이��_1,id_num,공원수,x,y
영등포구청역,수도권,02호선,"911",대규모점포,08_25_01_P,"3180000","2001318007607500032","20011203","1",영업/정상,"1",정상영업,,"0221658101",35687.739999999997963,150991.000000000000000,서울특별시 영등포구 문래동3가 55번지 3호,서울특별시 영등포구  당산로  42 (문래동3가),150991.000000000000000,홈플러스(주) 영등포점,20210607191902,U,2021/06/09 02:40:00.000,대형마트,대규모점포,B000008187,양화중학교,중학교,1980/12/27,공립,본교,운영,서울특별시 영등포구 문래동3가 48,서울특별시 영등포구 당산로 56,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"1",6.000000000000000,126.8963096106,37.5213956191
영등포구청역,수도권,02호선,"913",대규모점포,08_25_01_P,"3180000","2005318007607500003","20051111","1",영업/정상,"1",정상영업,,02-2630-2651,8724.729999999999563,,서울특별시 영등포구 양평동3가 65호,서울특별시 영등포구 선유로 156 (양평동3가),,코스트코 홀세일,20170707103641,I,2018/08/31 23:59:59.000,대형마트,대규모점포,B000002004,서울당중초등학교,초등학교,1949/10/28,공립,본교,운영,서울특별시 영등포구 양평동3가 42,서울특별시 영등포구 선유로 131,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"2",5.000000000000000,126.8913380449,37.5261691726
영등포구청역,수도권,02호선,"937",대규모점포,08_25_01_P,"3180000","2001318007607500031","20010925","1",영업/정상,"1",정상영업,,02 21652510,12066.159999999999854,,서울특별시 영등포구 영등포동8가 62번지 1호,서울특별시 영등포구 영중로 125 (영등포동8가),150038.000000000000000,롯데쇼핑(주) VIC마켓 영등포점,20220510191606,U,2022/05/12 02:40:00.000,대형마트,대규모점포,B000001996,서울영중초등학교,초등학교,1949/10/25,공립,본교,운영,서울특별시 영등포구 영등포동7가 53,서울특별시 영등포구 양산로 185,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"3",5.000000000000000,126.9018412413,37.5246751205
당산역,수도권,02호선,"937",대규모점포,08_25_01_P,"3180000","2001318007607500031","20010925","1",영업/정상,"1",정상영업,,02 21652510,12066.159999999999854,,서울특별시 영등포구 영등포동8가 62번지 1호,서울특별시 영등포구 영중로 125 (영등포동8가),150038.000000000000000,롯데쇼핑(주) VIC마켓 영등포점,20220510191606,U,2022/05/12 02:40:00.000,대형마트,대규모점포,B000001998,서울당서초등학교,초등학교,1984/11/01,공립,본교,운영,서울특별시 영등포구 당산동5가 5-3,서울특별시 영등포구 당산로 187,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"4",9.000000000000000,126.9012504769,37.5310404183
당산역,수도권,02호선,"937",대규모점포,08_25_01_P,"3180000","2001318007607500031","20010925","1",영업/정상,"1",정상영업,,02 21652510,12066.159999999999854,,서울특별시 영등포구 영등포동8가 62번지 1호,서울특별시 영등포구 영중로 125 (영등포동8가),150038.000000000000000,롯데쇼핑(주) VIC마켓 영등포점,20220510191606,U,2022/05/12 02:40:00.000,대형마트,대규모점포,B000008181,당산중학교,중학교,1968/10/02,공립,본교,운영,서울특별시 영등포구 당산동 121,서울특별시 영등포구 버드나루로 160,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"5",5.000000000000000,126.9059762570,37.5317243396
충정로역,수도권,02호선,"1520",대규모점포,08_25_01_P,"3010000","2004301007107500001","20040601","1",영업/정상,"1",정상영업,,02   4118500,11090.620000000000800,,서울특별시 중구 봉래동2가 122호,서울특별시 중구 청파로 426 (봉래동2가),100162.000000000000000,롯데쇼핑(주)롯데마트서울역점,20220510092353,U,2022/05/12 02:40:00.000,대형마트,대규모점포,B000001912,서울미동초등학교,초등학교,1896/05/01,공립,본교,운영,서울특별시 서대문구 미근동 36-1,서울특별시 서대문구 충정로 52,"7010000",서울특별시교육청,"7031000",서울특별시서부교육지원청,2013/11/29,2022/07/01,2022/09/21,"6",11.000000000000000,126.9668582538,37.5619444748
충정로역,수도권,02호선,"1520",대규모점포,08_25_01_P,"3010000","2004301007107500001","20040601","1",영업/정상,"1",정상영업,,02   4118500,11090.620000000000800,,서울특별시 중구 봉래동2가 122호,서울특별시 중구 청파로 426 (봉래동2가),100162.000000000000000,롯데쇼핑(주)롯데마트서울역점,20220510092353,U,2022/05/12 02:40:00.000,대형마트,대규모점포,B000002098,서울봉래초등학교,초등학교,1895/09/18,공립,본교,운영,서울특별시 중구 만리동2가 2,서울특별시 중구 손기정로 73,"7010000",서울특별시교육청,"7061000",서울특별시중부교육지원청,2013/11/29,2022/07/01,2022/09/21,"7",7.000000000000000,126.9657469404,37.5568320613
충정로역,수도권,02호선,"1520",대규모점포,08_25_01_P,"3010000","2004301007107500001","20040601","1",영업/정상,"1",정상영업,,02   4118500,11090.620000000000800,,서울특별시 중구 봉래동2가 122호,서울특별시 중구 청파로 426 (봉래동2가),100162.000000000000000,롯데쇼핑(주)롯데마트서울역점,20220510092353,U,2022/05/12 02:40:00.000,대형마트,대규모점포,B000011295,서울의료보건고등학교,고등학교,1992/10/02,사립,본교,운영,서울특별시 중구 중림동 324-14,서울특별시 중구 만리재로37길 30,"7010000",서울특별시교육청,"7061000",서울특별시중부교육지원청,2013/11/29,2022/07/01,2022/09/21,"8",9.000000000000000,126.9666888265,37.5573884114
합정역,수도권,02호선,"2492",대규모점포,08_25_01_P,"3130000","2011313011807500001","20110106","1",영업/정상,"1",정상영업,,"34598000",14201.000000000000000,,서울특별시 마포구 서교동 490번지 1호,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",4036.000000000000000,홈플러스 합정점,20210616114210,U,2021/06/18 02:40:00.000,대형마트,대규모점포,B000008152,성산중학교,중학교,1967/10/27,공립,본교,운영,서울특별시 마포구 합정동 365-1,서울특별시 마포구 성지1길 32-13,"7010000",서울특별시교육청,"7031000",서울특별시서부교육지원청,2013/11/29,2022/07/01,2022/09/21,"9",5.000000000000000,126.9161067860,37.5479129733
합정역,수도권,02호선,"2492",대규모점포,08_25_01_P,"3130000","2011313011807500001","20110106","1",영업/정상,"1",정상영업,,"34598000",14201.000000000000000,,서울특별시 마포구 서교동 490번지 1호,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",4036.000000000000000,홈플러스 합정점,20210616114210,U,2021/06/18 02:40:00.000,대형마트,대규모점포,B000001948,서울성산초등학교,초등학교,1969/03/01,공립,본교,운영,서울특별시 마포구 합정동 427-2,서울특별시 마포구 양화로3길 94,"7010000",서울특별시교육청,"7031000",서울특별시서부교육지원청,2013/11/29,2022/07/01,2022/09/21,"10",5.000000000000000,126.9115986241,37.5527757590
