역이름,역지역,lat,long,호선
낙성대역,수도권,37.4770896313732,126.963505817942,02호선
구룡역,수도권,37.48702743532,127.059474850454,분당선
서울대입구역,수도권,37.4812845008265,126.952695107942,02호선
불광역,수도권,37.6100441859992,126.930302239049,03호선
월롱역,수도권,37.7962037866501,126.792563197953,경의선
안국역,수도권,37.5764929103816,126.985419169939,03호선
부발역,수도권,37.2603924025665,127.490307974918,경강선
강변역,수도권,37.535118053119,127.094722999066,02호선
영등포구청역,수도권,37.5258305232222,126.896668349116,02호선
동대입구역,수도권,37.5590504141329,127.005296768227,03호선
잠실새내역,수도권,37.5116083485804,127.08630073432,02호선
당산역,수도권,37.5347735014069,126.902607283905,02호선
약수역,수도권,37.5544909839515,127.010887137982,03호선
충정로역,수도권,37.5597479688989,126.964484159441,02호선
녹번역,수도권,37.6008031568325,126.935814422277,03호선
종합운동장역,수도권,37.5111302556967,127.07383586044,02호선
합정역,수도권,37.549901442065,126.914447288631,02호선
금호역,수도권,37.548255518095,127.015820115311,03호선
홍대입구역,수도권,37.5568635281461,126.923764988566,02호선
홍제역,수도권,37.5887881726718,126.944158013369,03호선
옥수역,수도권,37.5415518643708,127.017380201215,03호선
압구정역,수도권,37.5264849726148,127.028486030642,03호선
삼성역,수도권,37.5088119293814,127.063020940329,02호선
신답역,수도권,37.5698350860798,127.04706653169,02호선
신사역,수도권,37.5164314730183,127.02029272549,03호선
가정중앙시장역,수도권,37.5175227396599,126.676805241489,인천2호선
선릉역,수도권,37.5044937750958,127.048948120105,02호선
신정네거리역,수도권,37.5202158982635,126.852876007423,02호선
지축역,수도권,37.648145025133,126.913836143165,03호선
구파발역,수도권,37.6364177567586,126.918834712255,03호선
연신내역,수도권,37.6191924317614,126.921096185129,03호선
무악재역,수도권,37.5825560184073,126.950230958933,03호선
독립문역,수도권,37.5744680801684,126.957911446269,03호선
경복궁역,수도권,37.5757880985498,126.973668718282,03호선
종로3가역,수도권,37.5704208439207,126.992144196794,03호선
을지로3가역,수도권,37.5662761796769,126.990967458779,03호선
동오역,수도권,37.7452518938783,127.05698049092,의정부경전철
역삼역,수도권,37.5006600052986,127.036460414211,02호선
강남역,수도권,37.4980854411503,127.027977657727,02호선
교대역,수도권,37.4927359601279,127.013863444681,02호선
방배역,수도권,37.4814561264392,126.997535255649,02호선
사당역,수도권,37.4765532208396,126.981549541445,02호선
봉천역,수도권,37.4824689098378,126.941682007426,02호선
신림역,수도권,37.4842644294274,126.929740854865,02호선
신대방역,수도권,37.487641446009,126.913500702287,02호선
구로디지털단지역,수도권,37.4852533671941,126.901473089504,02호선
신도림역,수도권,37.5089048744726,126.891307981962,02호선
문래역,수도권,37.5179720940164,126.894756202452,02호선
신촌역,수도권,37.5551954567089,126.936962654548,02호선
이대역,수도권,37.5568039038233,126.946422762684,02호선
아현역,수도권,37.5574025689432,126.956132861047,02호선
잠원역,수도권,37.5128827106508,127.011401392881,03호선
고속터미널역,수도권,37.5045398449292,127.005134579686,03호선
교대역,수도권,37.4927359601279,127.013863444681,03호선
남부터미널역,수도권,37.4851852186355,127.016191235414,03호선
양재역,수도권,37.4845687081114,127.034146039501,03호선
매봉역,수도권,37.4869250553702,127.046697871026,03호선
효자역,수도권,37.753979766402,127.077208439712,의정부경전철
까치산역,수도권,37.5322270449167,126.846426169396,02호선
시청역,수도권,37.5653372841193,126.977181235023,02호선
을지로입구역,수도권,37.5660229020616,126.982183995362,02호선
을지로3가역,수도권,37.5662761796769,126.990967458779,02호선
을지로4가역,수도권,37.5666368996611,126.997623004003,02호선
동대문역사문화공원역,수도권,37.5656454859141,127.008987189553,02호선
신당역,수도권,37.5656622427144,127.019468475358,02호선
한양대역,수도권,37.5557087864257,127.04361716382,02호선
뚝섬역,수도권,37.5472379579492,127.047369170783,02호선
성수역,수도권,37.5445852156774,127.056057944077,02호선
건대입구역,수도권,37.5403976062717,127.069202907348,02호선
구의역,수도권,37.537160863174,127.086171769557,02호선
잠실나루역,수도권,37.5206944003696,127.103799674868,02호선
잠실역,수도권,37.5133092702048,127.100215181119,02호선
용답역,수도권,37.5621209757458,127.050887278781,02호선
도곡역,수도권,37.4909757841746,127.055497705714,03호선
대치역,수도권,37.4944858480401,127.063189830669,03호선
학여울역,수도권,37.4968779978912,127.071153022687,03호선
대청역,수도권,37.4937011202813,127.079517936005,03호선
일원역,수도권,37.4839850708765,127.084120707858,03호선
수서역,수도권,37.4852843181606,127.10445168236,03호선
가락시장역,수도권,37.493092048704,127.118258210622,03호선
경찰병원역,수도권,37.4959868949932,127.124482367866,03호선
오금역,수도권,37.5021280700015,127.127930582636,03호선
당고개역,수도권,37.6702060357364,127.079048472278,04호선
상계역,수도권,37.6607133396972,127.073417091825,04호선
노원역,수도권,37.6563403562037,127.063440071354,04호선
창동역,수도권,37.653320494324,127.047640454654,04호선
쌍문역,수도권,37.6485317952362,127.034651559958,04호선
수유역,수도권,37.6378664771973,127.025492107399,04호선
미아역,수도권,37.6266400754021,127.026032022663,04호선
미아사거리역,수도권,37.6132684542852,127.030082101855,04호선
길음역,수도권,37.6033767646759,127.025049999193,04호선
성신여대입구역,수도권,37.5929627242628,127.017120398018,04호선
한성대입구역,수도권,37.5884047925683,127.006000831773,04호선
혜화역,수도권,37.5820258983338,127.00192463086,04호선
동대문역,수도권,37.5716640012581,127.010617962363,04호선
동대문역사문화공원역,수도권,37.5656454859141,127.008987189553,04호선
충무로역,수도권,37.5613929793562,126.994137154178,04호선
명동역,수도권,37.5609598626754,126.986395560098,04호선
회현역,수도권,37.5587602432284,126.978428202919,04호선
서울역,수도권,37.5533163107152,126.969738305903,04호선
